Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(1790, 325)","(2715, 325)","(3642, 325)","(4567, 325)","(5492, 325)","(6417, 325)","(1327, 1458)","(2252, 1458)","(3178, 1458)","(4103, 1458)","(5028, 1458)","(5953, 1458)","(6880, 1458)","(1790, 3485)","(2715, 3485)","(3642, 3485)","(4567, 3485)","(5492, 3485)","(6417, 3485)","(1790, 4618)","(2715, 4618)","(3642, 4618)","(4567, 4618)","(5492, 4618)","(6417, 4618)",,,,,,,,,,,,,,,
"(1790, 325)","(2715, 325)","(3642, 325)","(4567, 325)","(5492, 325)","(6417, 325)","(1327, 1458)","(2252, 1458)","(3178, 1458)","(4103, 1458)","(5028, 1458)","(5953, 1458)","(6880, 1458)","(1327, 3485)","(2252, 3485)","(3178, 3485)","(4103, 3485)","(5028, 3485)","(5953, 3485)","(6880, 3485)","(1790, 4618)","(2715, 4618)","(3642, 4618)","(4567, 4618)","(5492, 4618)","(6417, 4618)",,,,,,,,,,,,,,
"(1327, 325)","(2252, 325)","(3178, 325)","(4103, 325)","(5028, 325)","(5953, 325)","(6880, 325)","(1327, 1458)","(2252, 1458)","(3178, 1458)","(4103, 1458)","(5028, 1458)","(5953, 1458)","(6880, 1458)","(1327, 3485)","(2252, 3485)","(3178, 3485)","(4103, 3485)","(5028, 3485)","(5953, 3485)","(6880, 3485)","(1790, 4618)","(2715, 4618)","(3642, 4618)","(4567, 4618)","(5492, 4618)","(6417, 4618)",,,,,,,,,,,,,
"(1327, 325)","(2252, 325)","(3178, 325)","(4103, 325)","(5028, 325)","(5953, 325)","(6880, 325)","(865, 1458)","(1790, 1458)","(2717, 1458)","(3642, 1458)","(4567, 1458)","(5492, 1458)","(6418, 1458)","(7343, 1458)","(1327, 3485)","(2252, 3485)","(3178, 3485)","(4103, 3485)","(5028, 3485)","(5953, 3485)","(6880, 3485)","(1790, 4618)","(2715, 4618)","(3642, 4618)","(4567, 4618)","(5492, 4618)","(6417, 4618)",,,,,,,,,,,,
"(1327, 325)","(2252, 325)","(3178, 325)","(4103, 325)","(5028, 325)","(5953, 325)","(6880, 325)","(865, 1458)","(1790, 1458)","(2717, 1458)","(3642, 1458)","(4567, 1458)","(5492, 1458)","(6418, 1458)","(7343, 1458)","(865, 3485)","(1790, 3485)","(2717, 3485)","(3642, 3485)","(4567, 3485)","(5492, 3485)","(6418, 3485)","(7343, 3485)","(1790, 4618)","(2715, 4618)","(3642, 4618)","(4567, 4618)","(5492, 4618)","(6417, 4618)",,,,,,,,,,,
"(1327, 325)","(2252, 325)","(3178, 325)","(4103, 325)","(5028, 325)","(5953, 325)","(6880, 325)","(865, 1458)","(1790, 1458)","(2717, 1458)","(3642, 1458)","(4567, 1458)","(5492, 1458)","(6418, 1458)","(7343, 1458)","(865, 3485)","(1790, 3485)","(2717, 3485)","(3642, 3485)","(4567, 3485)","(5492, 3485)","(6418, 3485)","(7343, 3485)","(1327, 4618)","(2252, 4618)","(3178, 4618)","(4103, 4618)","(5028, 4618)","(5953, 4618)","(6880, 4618)",,,,,,,,,,
"(865, 325)","(1790, 325)","(2717, 325)","(3642, 325)","(4567, 325)","(5492, 325)","(6418, 325)","(7343, 325)","(865, 1458)","(1790, 1458)","(2717, 1458)","(3642, 1458)","(4567, 1458)","(5492, 1458)","(6418, 1458)","(7343, 1458)","(865, 3485)","(1790, 3485)","(2717, 3485)","(3642, 3485)","(4567, 3485)","(5492, 3485)","(6418, 3485)","(7343, 3485)","(1327, 4618)","(2252, 4618)","(3178, 4618)","(4103, 4618)","(5028, 4618)","(5953, 4618)","(6880, 4618)",,,,,,,,,
"(865, 325)","(1790, 325)","(2717, 325)","(3642, 325)","(4567, 325)","(5492, 325)","(6418, 325)","(7343, 325)","(865, 1458)","(1790, 1458)","(2717, 1458)","(3642, 1458)","(4567, 1458)","(5492, 1458)","(6418, 1458)","(7343, 1458)","(865, 3485)","(1790, 3485)","(2717, 3485)","(3642, 3485)","(4567, 3485)","(5492, 3485)","(6418, 3485)","(7343, 3485)","(867, 4618)","(1792, 4618)","(2718, 4618)","(3643, 4618)","(4568, 4618)","(5493, 4618)","(6420, 4618)","(7345, 4618)",,,,,,,,
"(1165, 325)","(2005, 325)","(2845, 325)","(3685, 325)","(4525, 325)","(5363, 325)","(6203, 325)","(7043, 325)","(745, 1458)","(1585, 1458)","(2425, 1458)","(3265, 1458)","(4105, 1458)","(4943, 1458)","(5783, 1458)","(6623, 1458)","(7463, 1458)","(1165, 3485)","(2005, 3485)","(2845, 3485)","(3685, 3485)","(4525, 3485)","(5363, 3485)","(6203, 3485)","(7043, 3485)","(1167, 4618)","(2007, 4618)","(2847, 4618)","(3687, 4618)","(4527, 4618)","(5365, 4618)","(6205, 4618)","(7045, 4618)",,,,,,,
"(1165, 325)","(2005, 325)","(2845, 325)","(3685, 325)","(4525, 325)","(5363, 325)","(6203, 325)","(7043, 325)","(745, 1458)","(1585, 1458)","(2425, 1458)","(3265, 1458)","(4105, 1458)","(4943, 1458)","(5783, 1458)","(6623, 1458)","(7463, 1458)","(745, 3485)","(1585, 3485)","(2425, 3485)","(3265, 3485)","(4105, 3485)","(4943, 3485)","(5783, 3485)","(6623, 3485)","(7463, 3485)","(1167, 4618)","(2007, 4618)","(2847, 4618)","(3687, 4618)","(4527, 4618)","(5365, 4618)","(6205, 4618)","(7045, 4618)",,,,,,
"(745, 325)","(1585, 325)","(2425, 325)","(3265, 325)","(4105, 325)","(4943, 325)","(5783, 325)","(6623, 325)","(7463, 325)","(745, 1458)","(1585, 1458)","(2425, 1458)","(3265, 1458)","(4105, 1458)","(4943, 1458)","(5783, 1458)","(6623, 1458)","(7463, 1458)","(745, 3485)","(1585, 3485)","(2425, 3485)","(3265, 3485)","(4105, 3485)","(4943, 3485)","(5783, 3485)","(6623, 3485)","(7463, 3485)","(1167, 4618)","(2007, 4618)","(2847, 4618)","(3687, 4618)","(4527, 4618)","(5365, 4618)","(6205, 4618)","(7045, 4618)",,,,,
"(745, 325)","(1585, 325)","(2425, 325)","(3265, 325)","(4105, 325)","(4943, 325)","(5783, 325)","(6623, 325)","(7463, 325)","(325, 1458)","(1165, 1458)","(2005, 1458)","(2845, 1458)","(3685, 1458)","(4523, 1458)","(5363, 1458)","(6203, 1458)","(7043, 1458)","(7883, 1458)","(745, 3485)","(1585, 3485)","(2425, 3485)","(3265, 3485)","(4105, 3485)","(4943, 3485)","(5783, 3485)","(6623, 3485)","(7463, 3485)","(1167, 4618)","(2007, 4618)","(2847, 4618)","(3687, 4618)","(4527, 4618)","(5365, 4618)","(6205, 4618)","(7045, 4618)",,,,
"(745, 325)","(1585, 325)","(2425, 325)","(3265, 325)","(4105, 325)","(4943, 325)","(5783, 325)","(6623, 325)","(7463, 325)","(325, 1458)","(1165, 1458)","(2005, 1458)","(2845, 1458)","(3685, 1458)","(4523, 1458)","(5363, 1458)","(6203, 1458)","(7043, 1458)","(7883, 1458)","(325, 3485)","(1165, 3485)","(2005, 3485)","(2845, 3485)","(3685, 3485)","(4523, 3485)","(5363, 3485)","(6203, 3485)","(7043, 3485)","(7883, 3485)","(1167, 4618)","(2007, 4618)","(2847, 4618)","(3687, 4618)","(4527, 4618)","(5365, 4618)","(6205, 4618)","(7045, 4618)",,,
"(745, 325)","(1585, 325)","(2425, 325)","(3265, 325)","(4105, 325)","(4943, 325)","(5783, 325)","(6623, 325)","(7463, 325)","(325, 1458)","(1165, 1458)","(2005, 1458)","(2845, 1458)","(3685, 1458)","(4523, 1458)","(5363, 1458)","(6203, 1458)","(7043, 1458)","(7883, 1458)","(325, 3485)","(1165, 3485)","(2005, 3485)","(2845, 3485)","(3685, 3485)","(4523, 3485)","(5363, 3485)","(6203, 3485)","(7043, 3485)","(7883, 3485)","(745, 4618)","(1585, 4618)","(2425, 4618)","(3265, 4618)","(4105, 4618)","(4943, 4618)","(5783, 4618)","(6623, 4618)","(7463, 4618)",,
"(325, 325)","(1165, 325)","(2005, 325)","(2845, 325)","(3685, 325)","(4523, 325)","(5363, 325)","(6203, 325)","(7043, 325)","(7883, 325)","(325, 1458)","(1165, 1458)","(2005, 1458)","(2845, 1458)","(3685, 1458)","(4523, 1458)","(5363, 1458)","(6203, 1458)","(7043, 1458)","(7883, 1458)","(325, 3485)","(1165, 3485)","(2005, 3485)","(2845, 3485)","(3685, 3485)","(4523, 3485)","(5363, 3485)","(6203, 3485)","(7043, 3485)","(7883, 3485)","(745, 4618)","(1585, 4618)","(2425, 4618)","(3265, 4618)","(4105, 4618)","(4943, 4618)","(5783, 4618)","(6623, 4618)","(7463, 4618)",
"(325, 325)","(1165, 325)","(2005, 325)","(2845, 325)","(3685, 325)","(4523, 325)","(5363, 325)","(6203, 325)","(7043, 325)","(7883, 325)","(325, 1458)","(1165, 1458)","(2005, 1458)","(2845, 1458)","(3685, 1458)","(4523, 1458)","(5363, 1458)","(6203, 1458)","(7043, 1458)","(7883, 1458)","(325, 3485)","(1165, 3485)","(2005, 3485)","(2845, 3485)","(3685, 3485)","(4523, 3485)","(5363, 3485)","(6203, 3485)","(7043, 3485)","(7883, 3485)","(325, 4618)","(1165, 4618)","(2005, 4618)","(2845, 4618)","(3685, 4618)","(4523, 4618)","(5363, 4618)","(6203, 4618)","(7043, 4618)","(7883, 4618)"
