Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(2265, 325)","(3520, 325)","(4777, 325)","(6032, 325)","(2265, 1458)","(3520, 1458)","(4777, 1458)","(6032, 1458)","(2265, 3485)","(3520, 3485)","(4777, 3485)","(6032, 3485)","(2265, 4618)","(3520, 4618)","(4777, 4618)","(6032, 4618)",,,,,,,,,,,,,,,,,,,,,,,,
"(2565, 325)","(3620, 325)","(4675, 325)","(5732, 325)","(2037, 1458)","(3092, 1458)","(4147, 1458)","(5203, 1458)","(6258, 1458)","(2565, 3485)","(3620, 3485)","(4675, 3485)","(5732, 3485)","(2565, 4618)","(3620, 4618)","(4675, 4618)","(5732, 4618)",,,,,,,,,,,,,,,,,,,,,,,
"(2565, 325)","(3620, 325)","(4675, 325)","(5732, 325)","(2037, 1458)","(3092, 1458)","(4147, 1458)","(5203, 1458)","(6258, 1458)","(2037, 3485)","(3092, 3485)","(4147, 3485)","(5203, 3485)","(6258, 3485)","(2565, 4618)","(3620, 4618)","(4675, 4618)","(5732, 4618)",,,,,,,,,,,,,,,,,,,,,,
"(2037, 325)","(3092, 325)","(4147, 325)","(5203, 325)","(6258, 325)","(2037, 1458)","(3092, 1458)","(4147, 1458)","(5203, 1458)","(6258, 1458)","(2037, 3485)","(3092, 3485)","(4147, 3485)","(5203, 3485)","(6258, 3485)","(2565, 4618)","(3620, 4618)","(4675, 4618)","(5732, 4618)",,,,,,,,,,,,,,,,,,,,,
"(2037, 325)","(3092, 325)","(4147, 325)","(5203, 325)","(6258, 325)","(1508, 1458)","(2563, 1458)","(3618, 1458)","(4675, 1458)","(5730, 1458)","(6785, 1458)","(2037, 3485)","(3092, 3485)","(4147, 3485)","(5203, 3485)","(6258, 3485)","(2565, 4618)","(3620, 4618)","(4675, 4618)","(5732, 4618)",,,,,,,,,,,,,,,,,,,,
"(2037, 325)","(3092, 325)","(4147, 325)","(5203, 325)","(6258, 325)","(1508, 1458)","(2563, 1458)","(3618, 1458)","(4675, 1458)","(5730, 1458)","(6785, 1458)","(1508, 3485)","(2563, 3485)","(3618, 3485)","(4675, 3485)","(5730, 3485)","(6785, 3485)","(2565, 4618)","(3620, 4618)","(4675, 4618)","(5732, 4618)",,,,,,,,,,,,,,,,,,,
"(2037, 325)","(3092, 325)","(4147, 325)","(5203, 325)","(6258, 325)","(1508, 1458)","(2563, 1458)","(3618, 1458)","(4675, 1458)","(5730, 1458)","(6785, 1458)","(1508, 3485)","(2563, 3485)","(3618, 3485)","(4675, 3485)","(5730, 3485)","(6785, 3485)","(2037, 4618)","(3092, 4618)","(4147, 4618)","(5203, 4618)","(6258, 4618)",,,,,,,,,,,,,,,,,,
"(1508, 325)","(2563, 325)","(3618, 325)","(4675, 325)","(5730, 325)","(6785, 325)","(1508, 1458)","(2563, 1458)","(3618, 1458)","(4675, 1458)","(5730, 1458)","(6785, 1458)","(1508, 3485)","(2563, 3485)","(3618, 3485)","(4675, 3485)","(5730, 3485)","(6785, 3485)","(2037, 4618)","(3092, 4618)","(4147, 4618)","(5203, 4618)","(6258, 4618)",,,,,,,,,,,,,,,,,
"(1508, 325)","(2563, 325)","(3618, 325)","(4675, 325)","(5730, 325)","(6785, 325)","(1508, 1458)","(2563, 1458)","(3618, 1458)","(4675, 1458)","(5730, 1458)","(6785, 1458)","(1508, 3485)","(2563, 3485)","(3618, 3485)","(4675, 3485)","(5730, 3485)","(6785, 3485)","(1508, 4618)","(2563, 4618)","(3618, 4618)","(4675, 4618)","(5730, 4618)","(6785, 4618)",,,,,,,,,,,,,,,,
"(1808, 325)","(2743, 325)","(3678, 325)","(4613, 325)","(5550, 325)","(6485, 325)","(1342, 1458)","(2277, 1458)","(3212, 1458)","(4147, 1458)","(5083, 1458)","(6018, 1458)","(6953, 1458)","(1808, 3485)","(2743, 3485)","(3678, 3485)","(4613, 3485)","(5550, 3485)","(6485, 3485)","(1808, 4618)","(2743, 4618)","(3678, 4618)","(4613, 4618)","(5550, 4618)","(6485, 4618)",,,,,,,,,,,,,,,
"(1808, 325)","(2743, 325)","(3678, 325)","(4613, 325)","(5550, 325)","(6485, 325)","(1342, 1458)","(2277, 1458)","(3212, 1458)","(4147, 1458)","(5083, 1458)","(6018, 1458)","(6953, 1458)","(1342, 3485)","(2277, 3485)","(3212, 3485)","(4147, 3485)","(5083, 3485)","(6018, 3485)","(6953, 3485)","(1808, 4618)","(2743, 4618)","(3678, 4618)","(4613, 4618)","(5550, 4618)","(6485, 4618)",,,,,,,,,,,,,,
"(1342, 325)","(2277, 325)","(3212, 325)","(4147, 325)","(5083, 325)","(6018, 325)","(6953, 325)","(1342, 1458)","(2277, 1458)","(3212, 1458)","(4147, 1458)","(5083, 1458)","(6018, 1458)","(6953, 1458)","(1342, 3485)","(2277, 3485)","(3212, 3485)","(4147, 3485)","(5083, 3485)","(6018, 3485)","(6953, 3485)","(1808, 4618)","(2743, 4618)","(3678, 4618)","(4613, 4618)","(5550, 4618)","(6485, 4618)",,,,,,,,,,,,,
"(1342, 325)","(2277, 325)","(3212, 325)","(4147, 325)","(5083, 325)","(6018, 325)","(6953, 325)","(875, 1458)","(1810, 1458)","(2745, 1458)","(3680, 1458)","(4617, 1458)","(5552, 1458)","(6487, 1458)","(7422, 1458)","(1342, 3485)","(2277, 3485)","(3212, 3485)","(4147, 3485)","(5083, 3485)","(6018, 3485)","(6953, 3485)","(1808, 4618)","(2743, 4618)","(3678, 4618)","(4613, 4618)","(5550, 4618)","(6485, 4618)",,,,,,,,,,,,
"(1342, 325)","(2277, 325)","(3212, 325)","(4147, 325)","(5083, 325)","(6018, 325)","(6953, 325)","(875, 1458)","(1810, 1458)","(2745, 1458)","(3680, 1458)","(4617, 1458)","(5552, 1458)","(6487, 1458)","(7422, 1458)","(875, 3485)","(1810, 3485)","(2745, 3485)","(3680, 3485)","(4617, 3485)","(5552, 3485)","(6487, 3485)","(7422, 3485)","(1808, 4618)","(2743, 4618)","(3678, 4618)","(4613, 4618)","(5550, 4618)","(6485, 4618)",,,,,,,,,,,
"(1342, 325)","(2277, 325)","(3212, 325)","(4147, 325)","(5083, 325)","(6018, 325)","(6953, 325)","(875, 1458)","(1810, 1458)","(2745, 1458)","(3680, 1458)","(4617, 1458)","(5552, 1458)","(6487, 1458)","(7422, 1458)","(875, 3485)","(1810, 3485)","(2745, 3485)","(3680, 3485)","(4617, 3485)","(5552, 3485)","(6487, 3485)","(7422, 3485)","(1342, 4618)","(2277, 4618)","(3212, 4618)","(4147, 4618)","(5083, 4618)","(6018, 4618)","(6953, 4618)",,,,,,,,,,
"(875, 325)","(1810, 325)","(2745, 325)","(3680, 325)","(4617, 325)","(5552, 325)","(6487, 325)","(7422, 325)","(875, 1458)","(1810, 1458)","(2745, 1458)","(3680, 1458)","(4617, 1458)","(5552, 1458)","(6487, 1458)","(7422, 1458)","(875, 3485)","(1810, 3485)","(2745, 3485)","(3680, 3485)","(4617, 3485)","(5552, 3485)","(6487, 3485)","(7422, 3485)","(1342, 4618)","(2277, 4618)","(3212, 4618)","(4147, 4618)","(5083, 4618)","(6018, 4618)","(6953, 4618)",,,,,,,,,
"(875, 325)","(1810, 325)","(2745, 325)","(3680, 325)","(4617, 325)","(5552, 325)","(6487, 325)","(7422, 325)","(875, 1458)","(1810, 1458)","(2745, 1458)","(3680, 1458)","(4617, 1458)","(5552, 1458)","(6487, 1458)","(7422, 1458)","(875, 3485)","(1810, 3485)","(2745, 3485)","(3680, 3485)","(4617, 3485)","(5552, 3485)","(6487, 3485)","(7422, 3485)","(875, 4618)","(1810, 4618)","(2745, 4618)","(3680, 4618)","(4617, 4618)","(5552, 4618)","(6487, 4618)","(7422, 4618)",,,,,,,,
"(1175, 325)","(2025, 325)","(2875, 325)","(3723, 325)","(4573, 325)","(5423, 325)","(6273, 325)","(7122, 325)","(750, 1458)","(1600, 1458)","(2450, 1458)","(3298, 1458)","(4148, 1458)","(4998, 1458)","(5848, 1458)","(6697, 1458)","(7547, 1458)","(1175, 3485)","(2025, 3485)","(2875, 3485)","(3723, 3485)","(4573, 3485)","(5423, 3485)","(6273, 3485)","(7122, 3485)","(1175, 4618)","(2025, 4618)","(2875, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6273, 4618)","(7122, 4618)",,,,,,,
"(1175, 325)","(2025, 325)","(2875, 325)","(3723, 325)","(4573, 325)","(5423, 325)","(6273, 325)","(7122, 325)","(750, 1458)","(1600, 1458)","(2450, 1458)","(3298, 1458)","(4148, 1458)","(4998, 1458)","(5848, 1458)","(6697, 1458)","(7547, 1458)","(750, 3485)","(1600, 3485)","(2450, 3485)","(3298, 3485)","(4148, 3485)","(4998, 3485)","(5848, 3485)","(6697, 3485)","(7547, 3485)","(1175, 4618)","(2025, 4618)","(2875, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6273, 4618)","(7122, 4618)",,,,,,
"(750, 325)","(1600, 325)","(2450, 325)","(3298, 325)","(4148, 325)","(4998, 325)","(5848, 325)","(6697, 325)","(7547, 325)","(750, 1458)","(1600, 1458)","(2450, 1458)","(3298, 1458)","(4148, 1458)","(4998, 1458)","(5848, 1458)","(6697, 1458)","(7547, 1458)","(750, 3485)","(1600, 3485)","(2450, 3485)","(3298, 3485)","(4148, 3485)","(4998, 3485)","(5848, 3485)","(6697, 3485)","(7547, 3485)","(1175, 4618)","(2025, 4618)","(2875, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6273, 4618)","(7122, 4618)",,,,,
"(750, 325)","(1600, 325)","(2450, 325)","(3298, 325)","(4148, 325)","(4998, 325)","(5848, 325)","(6697, 325)","(7547, 325)","(325, 1458)","(1175, 1458)","(2025, 1458)","(2873, 1458)","(3723, 1458)","(4573, 1458)","(5423, 1458)","(6272, 1458)","(7122, 1458)","(7972, 1458)","(750, 3485)","(1600, 3485)","(2450, 3485)","(3298, 3485)","(4148, 3485)","(4998, 3485)","(5848, 3485)","(6697, 3485)","(7547, 3485)","(1175, 4618)","(2025, 4618)","(2875, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6273, 4618)","(7122, 4618)",,,,
"(750, 325)","(1600, 325)","(2450, 325)","(3298, 325)","(4148, 325)","(4998, 325)","(5848, 325)","(6697, 325)","(7547, 325)","(325, 1458)","(1175, 1458)","(2025, 1458)","(2873, 1458)","(3723, 1458)","(4573, 1458)","(5423, 1458)","(6272, 1458)","(7122, 1458)","(7972, 1458)","(325, 3485)","(1175, 3485)","(2025, 3485)","(2873, 3485)","(3723, 3485)","(4573, 3485)","(5423, 3485)","(6272, 3485)","(7122, 3485)","(7972, 3485)","(1175, 4618)","(2025, 4618)","(2875, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6273, 4618)","(7122, 4618)",,,
"(750, 325)","(1600, 325)","(2450, 325)","(3298, 325)","(4148, 325)","(4998, 325)","(5848, 325)","(6697, 325)","(7547, 325)","(325, 1458)","(1175, 1458)","(2025, 1458)","(2873, 1458)","(3723, 1458)","(4573, 1458)","(5423, 1458)","(6272, 1458)","(7122, 1458)","(7972, 1458)","(325, 3485)","(1175, 3485)","(2025, 3485)","(2873, 3485)","(3723, 3485)","(4573, 3485)","(5423, 3485)","(6272, 3485)","(7122, 3485)","(7972, 3485)","(750, 4618)","(1600, 4618)","(2450, 4618)","(3298, 4618)","(4148, 4618)","(4998, 4618)","(5848, 4618)","(6697, 4618)","(7547, 4618)",,
"(325, 325)","(1175, 325)","(2025, 325)","(2873, 325)","(3723, 325)","(4573, 325)","(5423, 325)","(6272, 325)","(7122, 325)","(7972, 325)","(325, 1458)","(1175, 1458)","(2025, 1458)","(2873, 1458)","(3723, 1458)","(4573, 1458)","(5423, 1458)","(6272, 1458)","(7122, 1458)","(7972, 1458)","(325, 3485)","(1175, 3485)","(2025, 3485)","(2873, 3485)","(3723, 3485)","(4573, 3485)","(5423, 3485)","(6272, 3485)","(7122, 3485)","(7972, 3485)","(750, 4618)","(1600, 4618)","(2450, 4618)","(3298, 4618)","(4148, 4618)","(4998, 4618)","(5848, 4618)","(6697, 4618)","(7547, 4618)",
"(325, 325)","(1175, 325)","(2025, 325)","(2873, 325)","(3723, 325)","(4573, 325)","(5423, 325)","(6272, 325)","(7122, 325)","(7972, 325)","(325, 1458)","(1175, 1458)","(2025, 1458)","(2873, 1458)","(3723, 1458)","(4573, 1458)","(5423, 1458)","(6272, 1458)","(7122, 1458)","(7972, 1458)","(325, 3485)","(1175, 3485)","(2025, 3485)","(2873, 3485)","(3723, 3485)","(4573, 3485)","(5423, 3485)","(6272, 3485)","(7122, 3485)","(7972, 3485)","(325, 4618)","(1175, 4618)","(2025, 4618)","(2873, 4618)","(3723, 4618)","(4573, 4618)","(5423, 4618)","(6272, 4618)","(7122, 4618)","(7972, 4618)"
