Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(1735, 195)","(2488, 195)","(3242, 195)","(1735, 875)","(2488, 875)","(3242, 875)","(1735, 2091)","(2488, 2091)","(3242, 2091)","(2112, 2771)","(2865, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1735, 195)","(2488, 195)","(3242, 195)","(1359, 875)","(2112, 875)","(2866, 875)","(3619, 875)","(1735, 2091)","(2488, 2091)","(3242, 2091)","(2112, 2771)","(2865, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1735, 195)","(2488, 195)","(3242, 195)","(1359, 875)","(2112, 875)","(2866, 875)","(3619, 875)","(1359, 2091)","(2112, 2091)","(2866, 2091)","(3619, 2091)","(2112, 2771)","(2865, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1735, 195)","(2488, 195)","(3242, 195)","(1359, 875)","(2112, 875)","(2866, 875)","(3619, 875)","(1359, 2091)","(2112, 2091)","(2866, 2091)","(3619, 2091)","(1735, 2771)","(2488, 2771)","(3242, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 195)","(2112, 195)","(2866, 195)","(3619, 195)","(1359, 875)","(2112, 875)","(2866, 875)","(3619, 875)","(1359, 2091)","(2112, 2091)","(2866, 2091)","(3619, 2091)","(1735, 2771)","(2488, 2771)","(3242, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 195)","(2112, 195)","(2866, 195)","(3619, 195)","(1359, 875)","(2112, 875)","(2866, 875)","(3619, 875)","(1359, 2091)","(2112, 2091)","(2866, 2091)","(3619, 2091)","(1359, 2771)","(2112, 2771)","(2866, 2771)","(3619, 2771)",,,,,,,,,,,,,,,,,,,,,,,,
"(1539, 195)","(2172, 195)","(2805, 195)","(3439, 195)","(1222, 875)","(1855, 875)","(2488, 875)","(3122, 875)","(3755, 875)","(1539, 2091)","(2172, 2091)","(2805, 2091)","(3439, 2091)","(1539, 2771)","(2172, 2771)","(2805, 2771)","(3439, 2771)",,,,,,,,,,,,,,,,,,,,,,,
"(1539, 195)","(2172, 195)","(2805, 195)","(3439, 195)","(1222, 875)","(1855, 875)","(2488, 875)","(3122, 875)","(3755, 875)","(1222, 2091)","(1855, 2091)","(2488, 2091)","(3122, 2091)","(3755, 2091)","(1539, 2771)","(2172, 2771)","(2805, 2771)","(3439, 2771)",,,,,,,,,,,,,,,,,,,,,,
"(1222, 195)","(1855, 195)","(2488, 195)","(3122, 195)","(3755, 195)","(1222, 875)","(1855, 875)","(2488, 875)","(3122, 875)","(3755, 875)","(1222, 2091)","(1855, 2091)","(2488, 2091)","(3122, 2091)","(3755, 2091)","(1539, 2771)","(2172, 2771)","(2805, 2771)","(3439, 2771)",,,,,,,,,,,,,,,,,,,,,
"(1222, 195)","(1855, 195)","(2488, 195)","(3122, 195)","(3755, 195)","(905, 875)","(1538, 875)","(2171, 875)","(2805, 875)","(3438, 875)","(4071, 875)","(1222, 2091)","(1855, 2091)","(2488, 2091)","(3122, 2091)","(3755, 2091)","(1539, 2771)","(2172, 2771)","(2805, 2771)","(3439, 2771)",,,,,,,,,,,,,,,,,,,,
"(1222, 195)","(1855, 195)","(2488, 195)","(3122, 195)","(3755, 195)","(905, 875)","(1538, 875)","(2171, 875)","(2805, 875)","(3438, 875)","(4071, 875)","(905, 2091)","(1538, 2091)","(2171, 2091)","(2805, 2091)","(3438, 2091)","(4071, 2091)","(1539, 2771)","(2172, 2771)","(2805, 2771)","(3439, 2771)",,,,,,,,,,,,,,,,,,,
"(1222, 195)","(1855, 195)","(2488, 195)","(3122, 195)","(3755, 195)","(905, 875)","(1538, 875)","(2171, 875)","(2805, 875)","(3438, 875)","(4071, 875)","(905, 2091)","(1538, 2091)","(2171, 2091)","(2805, 2091)","(3438, 2091)","(4071, 2091)","(1222, 2771)","(1855, 2771)","(2488, 2771)","(3122, 2771)","(3755, 2771)",,,,,,,,,,,,,,,,,,
"(905, 195)","(1538, 195)","(2171, 195)","(2805, 195)","(3438, 195)","(4071, 195)","(905, 875)","(1538, 875)","(2171, 875)","(2805, 875)","(3438, 875)","(4071, 875)","(905, 2091)","(1538, 2091)","(2171, 2091)","(2805, 2091)","(3438, 2091)","(4071, 2091)","(1222, 2771)","(1855, 2771)","(2488, 2771)","(3122, 2771)","(3755, 2771)",,,,,,,,,,,,,,,,,
"(905, 195)","(1538, 195)","(2171, 195)","(2805, 195)","(3438, 195)","(4071, 195)","(905, 875)","(1538, 875)","(2171, 875)","(2805, 875)","(3438, 875)","(4071, 875)","(905, 2091)","(1538, 2091)","(2171, 2091)","(2805, 2091)","(3438, 2091)","(4071, 2091)","(905, 2771)","(1538, 2771)","(2171, 2771)","(2805, 2771)","(3438, 2771)","(4071, 2771)",,,,,,,,,,,,,,,,
"(1085, 195)","(1646, 195)","(2207, 195)","(2768, 195)","(3330, 195)","(3891, 195)","(805, 875)","(1366, 875)","(1927, 875)","(2488, 875)","(3050, 875)","(3611, 875)","(4172, 875)","(1085, 2091)","(1646, 2091)","(2207, 2091)","(2768, 2091)","(3330, 2091)","(3891, 2091)","(1085, 2771)","(1646, 2771)","(2207, 2771)","(2768, 2771)","(3330, 2771)","(3891, 2771)",,,,,,,,,,,,,,,
"(1085, 195)","(1646, 195)","(2207, 195)","(2768, 195)","(3330, 195)","(3891, 195)","(805, 875)","(1366, 875)","(1927, 875)","(2488, 875)","(3050, 875)","(3611, 875)","(4172, 875)","(805, 2091)","(1366, 2091)","(1927, 2091)","(2488, 2091)","(3050, 2091)","(3611, 2091)","(4172, 2091)","(1085, 2771)","(1646, 2771)","(2207, 2771)","(2768, 2771)","(3330, 2771)","(3891, 2771)",,,,,,,,,,,,,,
"(805, 195)","(1366, 195)","(1927, 195)","(2488, 195)","(3050, 195)","(3611, 195)","(4172, 195)","(805, 875)","(1366, 875)","(1927, 875)","(2488, 875)","(3050, 875)","(3611, 875)","(4172, 875)","(805, 2091)","(1366, 2091)","(1927, 2091)","(2488, 2091)","(3050, 2091)","(3611, 2091)","(4172, 2091)","(1085, 2771)","(1646, 2771)","(2207, 2771)","(2768, 2771)","(3330, 2771)","(3891, 2771)",,,,,,,,,,,,,
"(805, 195)","(1366, 195)","(1927, 195)","(2488, 195)","(3050, 195)","(3611, 195)","(4172, 195)","(525, 875)","(1086, 875)","(1647, 875)","(2208, 875)","(2770, 875)","(3331, 875)","(3892, 875)","(4453, 875)","(805, 2091)","(1366, 2091)","(1927, 2091)","(2488, 2091)","(3050, 2091)","(3611, 2091)","(4172, 2091)","(1085, 2771)","(1646, 2771)","(2207, 2771)","(2768, 2771)","(3330, 2771)","(3891, 2771)",,,,,,,,,,,,
"(805, 195)","(1366, 195)","(1927, 195)","(2488, 195)","(3050, 195)","(3611, 195)","(4172, 195)","(525, 875)","(1086, 875)","(1647, 875)","(2208, 875)","(2770, 875)","(3331, 875)","(3892, 875)","(4453, 875)","(525, 2091)","(1086, 2091)","(1647, 2091)","(2208, 2091)","(2770, 2091)","(3331, 2091)","(3892, 2091)","(4453, 2091)","(1085, 2771)","(1646, 2771)","(2207, 2771)","(2768, 2771)","(3330, 2771)","(3891, 2771)",,,,,,,,,,,
"(805, 195)","(1366, 195)","(1927, 195)","(2488, 195)","(3050, 195)","(3611, 195)","(4172, 195)","(525, 875)","(1086, 875)","(1647, 875)","(2208, 875)","(2770, 875)","(3331, 875)","(3892, 875)","(4453, 875)","(525, 2091)","(1086, 2091)","(1647, 2091)","(2208, 2091)","(2770, 2091)","(3331, 2091)","(3892, 2091)","(4453, 2091)","(805, 2771)","(1366, 2771)","(1927, 2771)","(2488, 2771)","(3050, 2771)","(3611, 2771)","(4172, 2771)",,,,,,,,,,
"(525, 195)","(1086, 195)","(1647, 195)","(2208, 195)","(2770, 195)","(3331, 195)","(3892, 195)","(4453, 195)","(525, 875)","(1086, 875)","(1647, 875)","(2208, 875)","(2770, 875)","(3331, 875)","(3892, 875)","(4453, 875)","(525, 2091)","(1086, 2091)","(1647, 2091)","(2208, 2091)","(2770, 2091)","(3331, 2091)","(3892, 2091)","(4453, 2091)","(805, 2771)","(1366, 2771)","(1927, 2771)","(2488, 2771)","(3050, 2771)","(3611, 2771)","(4172, 2771)",,,,,,,,,
"(525, 195)","(1086, 195)","(1647, 195)","(2208, 195)","(2770, 195)","(3331, 195)","(3892, 195)","(4453, 195)","(525, 875)","(1086, 875)","(1647, 875)","(2208, 875)","(2770, 875)","(3331, 875)","(3892, 875)","(4453, 875)","(525, 2091)","(1086, 2091)","(1647, 2091)","(2208, 2091)","(2770, 2091)","(3331, 2091)","(3892, 2091)","(4453, 2091)","(525, 2771)","(1086, 2771)","(1647, 2771)","(2208, 2771)","(2770, 2771)","(3331, 2771)","(3892, 2771)","(4453, 2771)",,,,,,,,
"(705, 195)","(1215, 195)","(1725, 195)","(2234, 195)","(2744, 195)","(3254, 195)","(3764, 195)","(4273, 195)","(450, 875)","(960, 875)","(1470, 875)","(1979, 875)","(2489, 875)","(2999, 875)","(3509, 875)","(4018, 875)","(4528, 875)","(705, 2091)","(1215, 2091)","(1725, 2091)","(2234, 2091)","(2744, 2091)","(3254, 2091)","(3764, 2091)","(4273, 2091)","(705, 2771)","(1215, 2771)","(1725, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3764, 2771)","(4273, 2771)",,,,,,,
"(705, 195)","(1215, 195)","(1725, 195)","(2234, 195)","(2744, 195)","(3254, 195)","(3764, 195)","(4273, 195)","(450, 875)","(960, 875)","(1470, 875)","(1979, 875)","(2489, 875)","(2999, 875)","(3509, 875)","(4018, 875)","(4528, 875)","(450, 2091)","(960, 2091)","(1470, 2091)","(1979, 2091)","(2489, 2091)","(2999, 2091)","(3509, 2091)","(4018, 2091)","(4528, 2091)","(705, 2771)","(1215, 2771)","(1725, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3764, 2771)","(4273, 2771)",,,,,,
"(450, 195)","(960, 195)","(1470, 195)","(1979, 195)","(2489, 195)","(2999, 195)","(3509, 195)","(4018, 195)","(4528, 195)","(450, 875)","(960, 875)","(1470, 875)","(1979, 875)","(2489, 875)","(2999, 875)","(3509, 875)","(4018, 875)","(4528, 875)","(450, 2091)","(960, 2091)","(1470, 2091)","(1979, 2091)","(2489, 2091)","(2999, 2091)","(3509, 2091)","(4018, 2091)","(4528, 2091)","(705, 2771)","(1215, 2771)","(1725, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3764, 2771)","(4273, 2771)",,,,,
"(450, 195)","(960, 195)","(1470, 195)","(1979, 195)","(2489, 195)","(2999, 195)","(3509, 195)","(4018, 195)","(4528, 195)","(195, 875)","(705, 875)","(1215, 875)","(1724, 875)","(2234, 875)","(2744, 875)","(3254, 875)","(3763, 875)","(4273, 875)","(4783, 875)","(450, 2091)","(960, 2091)","(1470, 2091)","(1979, 2091)","(2489, 2091)","(2999, 2091)","(3509, 2091)","(4018, 2091)","(4528, 2091)","(705, 2771)","(1215, 2771)","(1725, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3764, 2771)","(4273, 2771)",,,,
"(450, 195)","(960, 195)","(1470, 195)","(1979, 195)","(2489, 195)","(2999, 195)","(3509, 195)","(4018, 195)","(4528, 195)","(195, 875)","(705, 875)","(1215, 875)","(1724, 875)","(2234, 875)","(2744, 875)","(3254, 875)","(3763, 875)","(4273, 875)","(4783, 875)","(195, 2091)","(705, 2091)","(1215, 2091)","(1724, 2091)","(2234, 2091)","(2744, 2091)","(3254, 2091)","(3763, 2091)","(4273, 2091)","(4783, 2091)","(705, 2771)","(1215, 2771)","(1725, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3764, 2771)","(4273, 2771)",,,
"(450, 195)","(960, 195)","(1470, 195)","(1979, 195)","(2489, 195)","(2999, 195)","(3509, 195)","(4018, 195)","(4528, 195)","(195, 875)","(705, 875)","(1215, 875)","(1724, 875)","(2234, 875)","(2744, 875)","(3254, 875)","(3763, 875)","(4273, 875)","(4783, 875)","(195, 2091)","(705, 2091)","(1215, 2091)","(1724, 2091)","(2234, 2091)","(2744, 2091)","(3254, 2091)","(3763, 2091)","(4273, 2091)","(4783, 2091)","(450, 2771)","(960, 2771)","(1470, 2771)","(1979, 2771)","(2489, 2771)","(2999, 2771)","(3509, 2771)","(4018, 2771)","(4528, 2771)",,
"(195, 195)","(705, 195)","(1215, 195)","(1724, 195)","(2234, 195)","(2744, 195)","(3254, 195)","(3763, 195)","(4273, 195)","(4783, 195)","(195, 875)","(705, 875)","(1215, 875)","(1724, 875)","(2234, 875)","(2744, 875)","(3254, 875)","(3763, 875)","(4273, 875)","(4783, 875)","(195, 2091)","(705, 2091)","(1215, 2091)","(1724, 2091)","(2234, 2091)","(2744, 2091)","(3254, 2091)","(3763, 2091)","(4273, 2091)","(4783, 2091)","(450, 2771)","(960, 2771)","(1470, 2771)","(1979, 2771)","(2489, 2771)","(2999, 2771)","(3509, 2771)","(4018, 2771)","(4528, 2771)",
"(195, 195)","(705, 195)","(1215, 195)","(1724, 195)","(2234, 195)","(2744, 195)","(3254, 195)","(3763, 195)","(4273, 195)","(4783, 195)","(195, 875)","(705, 875)","(1215, 875)","(1724, 875)","(2234, 875)","(2744, 875)","(3254, 875)","(3763, 875)","(4273, 875)","(4783, 875)","(195, 2091)","(705, 2091)","(1215, 2091)","(1724, 2091)","(2234, 2091)","(2744, 2091)","(3254, 2091)","(3763, 2091)","(4273, 2091)","(4783, 2091)","(195, 2771)","(705, 2771)","(1215, 2771)","(1724, 2771)","(2234, 2771)","(2744, 2771)","(3254, 2771)","(3763, 2771)","(4273, 2771)","(4783, 2771)"
